                                                                                                                                                                     
{'loss': 10.8006, 'grad_norm': 2.65625, 'learning_rate': 5e-07, 'epoch': 0.0}
{'loss': 10.45, 'grad_norm': 3.09375, 'learning_rate': 1.15e-05, 'epoch': 0.0}
{'loss': 10.3938, 'grad_norm': 3.25, 'learning_rate': 1.2e-05, 'epoch': 0.0}
{'loss': 10.3135, 'grad_norm': 3.4375, 'learning_rate': 1.25e-05, 'epoch': 0.0}
{'loss': 10.3065, 'grad_norm': 3.453125, 'learning_rate': 1.3e-05, 'epoch': 0.0}
{'loss': 10.2304, 'grad_norm': 3.515625, 'learning_rate': 1.35e-05, 'epoch': 0.0}
{'loss': 10.1694, 'grad_norm': 3.703125, 'learning_rate': 1.4e-05, 'epoch': 0.0}
{'loss': 10.0598, 'grad_norm': 3.859375, 'learning_rate': 1.4500000000000002e-05, 'epoch': 0.0}
{'loss': 9.9738, 'grad_norm': 3.765625, 'learning_rate': 1.5e-05, 'epoch': 0.0}
{'loss': 9.8935, 'grad_norm': 3.875, 'learning_rate': 1.55e-05, 'epoch': 0.0}
{'loss': 9.7503, 'grad_norm': 3.6875, 'learning_rate': 1.6e-05, 'epoch': 0.0}
{'loss': 9.615, 'grad_norm': 3.484375, 'learning_rate': 1.65e-05, 'epoch': 0.0}
{'loss': 9.4995, 'grad_norm': 3.328125, 'learning_rate': 1.7000000000000003e-05, 'epoch': 0.0}
{'loss': 9.3798, 'grad_norm': 2.875, 'learning_rate': 1.7500000000000002e-05, 'epoch': 0.0}
{'loss': 9.2859, 'grad_norm': 2.765625, 'learning_rate': 1.8e-05, 'epoch': 0.0}
{'loss': 9.1845, 'grad_norm': 2.484375, 'learning_rate': 1.85e-05, 'epoch': 0.0}
{'loss': 9.0942, 'grad_norm': 2.21875, 'learning_rate': 1.9e-05, 'epoch': 0.0}
{'loss': 8.9773, 'grad_norm': 2.015625, 'learning_rate': 1.95e-05, 'epoch': 0.0}
{'loss': 8.9099, 'grad_norm': 1.8203125, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 8.8375, 'grad_norm': 1.6640625, 'learning_rate': 2.05e-05, 'epoch': 0.0}
{'loss': 8.7793, 'grad_norm': 1.640625, 'learning_rate': 2.1000000000000002e-05, 'epoch': 0.0}
{'loss': 8.7186, 'grad_norm': 1.5625, 'learning_rate': 2.1499999999999997e-05, 'epoch': 0.0}
{'loss': 8.6414, 'grad_norm': 1.4765625, 'learning_rate': 2.2e-05, 'epoch': 0.0}
{'loss': 8.601, 'grad_norm': 1.4296875, 'learning_rate': 2.2499999999999998e-05, 'epoch': 0.0}
{'loss': 8.5211, 'grad_norm': 1.4375, 'learning_rate': 2.3e-05, 'epoch': 0.0}
{'loss': 8.4384, 'grad_norm': 1.34375, 'learning_rate': 2.3500000000000002e-05, 'epoch': 0.0}
{'loss': 8.3902, 'grad_norm': 1.3125, 'learning_rate': 2.4e-05, 'epoch': 0.0}
{'loss': 8.3199, 'grad_norm': 1.2890625, 'learning_rate': 2.4500000000000003e-05, 'epoch': 0.0}
{'loss': 8.2583, 'grad_norm': 1.234375, 'learning_rate': 2.5e-05, 'epoch': 0.0}
{'loss': 8.2147, 'grad_norm': 1.1953125, 'learning_rate': 2.55e-05, 'epoch': 0.0}
{'loss': 8.1137, 'grad_norm': 1.296875, 'learning_rate': 2.6e-05, 'epoch': 0.0}
{'loss': 8.095, 'grad_norm': 1.1484375, 'learning_rate': 2.65e-05, 'epoch': 0.0}
{'loss': 8.0507, 'grad_norm': 1.0859375, 'learning_rate': 2.7e-05, 'epoch': 0.0}
{'loss': 8.0074, 'grad_norm': 1.0703125, 'learning_rate': 2.75e-05, 'epoch': 0.0}
{'loss': 7.9205, 'grad_norm': 1.109375, 'learning_rate': 2.8e-05, 'epoch': 0.0}
{'loss': 7.8723, 'grad_norm': 1.09375, 'learning_rate': 2.85e-05, 'epoch': 0.0}
{'loss': 7.8313, 'grad_norm': 1.0234375, 'learning_rate': 2.9000000000000004e-05, 'epoch': 0.0}
{'loss': 7.7862, 'grad_norm': 1.0234375, 'learning_rate': 2.95e-05, 'epoch': 0.0}
{'loss': 7.7294, 'grad_norm': 0.98828125, 'learning_rate': 3e-05, 'epoch': 0.0}
{'loss': 7.7182, 'grad_norm': 0.9140625, 'learning_rate': 3.05e-05, 'epoch': 0.0}
{'loss': 7.5953, 'grad_norm': 0.9609375, 'learning_rate': 3.1e-05, 'epoch': 0.0}
{'loss': 7.5688, 'grad_norm': 0.921875, 'learning_rate': 3.15e-05, 'epoch': 0.0}
{'loss': 7.5002, 'grad_norm': 0.94140625, 'learning_rate': 3.2e-05, 'epoch': 0.0}
{'loss': 7.5132, 'grad_norm': 0.859375, 'learning_rate': 3.2500000000000004e-05, 'epoch': 0.0}
{'loss': 7.4306, 'grad_norm': 0.87890625, 'learning_rate': 3.3e-05, 'epoch': 0.0}
{'loss': 7.3765, 'grad_norm': 0.828125, 'learning_rate': 3.35e-05, 'epoch': 0.0}
{'loss': 7.3699, 'grad_norm': 0.78125, 'learning_rate': 3.4000000000000007e-05, 'epoch': 0.0}
{'loss': 7.3214, 'grad_norm': 0.7578125, 'learning_rate': 3.4500000000000005e-05, 'epoch': 0.0}
{'loss': 7.2727, 'grad_norm': 0.75, 'learning_rate': 3.5000000000000004e-05, 'epoch': 0.0}
{'loss': 7.2483, 'grad_norm': 0.73828125, 'learning_rate': 3.5499999999999996e-05, 'epoch': 0.0}
{'loss': 7.1969, 'grad_norm': 0.6875, 'learning_rate': 3.6e-05, 'epoch': 0.0}
{'loss': 7.1864, 'grad_norm': 0.64453125, 'learning_rate': 3.65e-05, 'epoch': 0.0}
{'loss': 7.1783, 'grad_norm': 0.62109375, 'learning_rate': 3.7e-05, 'epoch': 0.0}
{'loss': 7.1397, 'grad_norm': 0.609375, 'learning_rate': 3.75e-05, 'epoch': 0.0}
{'loss': 7.0573, 'grad_norm': 0.61328125, 'learning_rate': 3.8e-05, 'epoch': 0.0}
{'loss': 7.08, 'grad_norm': 0.56640625, 'learning_rate': 3.85e-05, 'epoch': 0.0}
{'loss': 7.0348, 'grad_norm': 0.55078125, 'learning_rate': 3.9e-05, 'epoch': 0.0}
{'loss': 6.9868, 'grad_norm': 0.546875, 'learning_rate': 3.95e-05, 'epoch': 0.0}
{'loss': 6.952, 'grad_norm': 0.53515625, 'learning_rate': 4e-05, 'epoch': 0.0}
{'loss': 6.939, 'grad_norm': 0.51953125, 'learning_rate': 4.05e-05, 'epoch': 0.0}
{'loss': 6.8988, 'grad_norm': 0.486328125, 'learning_rate': 4.1e-05, 'epoch': 0.0}
{'loss': 6.8556, 'grad_norm': 0.51171875, 'learning_rate': 4.1500000000000006e-05, 'epoch': 0.0}
{'loss': 6.8799, 'grad_norm': 0.478515625, 'learning_rate': 4.2000000000000004e-05, 'epoch': 0.0}
{'loss': 6.8483, 'grad_norm': 0.439453125, 'learning_rate': 4.25e-05, 'epoch': 0.0}
{'loss': 6.8325, 'grad_norm': 0.5, 'learning_rate': 4.2999999999999995e-05, 'epoch': 0.0}
{'loss': 6.818, 'grad_norm': 0.4609375, 'learning_rate': 4.35e-05, 'epoch': 0.0}
{'loss': 6.7767, 'grad_norm': 0.423828125, 'learning_rate': 4.4e-05, 'epoch': 0.0}
{'loss': 6.7093, 'grad_norm': 0.470703125, 'learning_rate': 4.45e-05, 'epoch': 0.0}
{'loss': 6.7371, 'grad_norm': 0.443359375, 'learning_rate': 4.4999999999999996e-05, 'epoch': 0.0}
{'loss': 6.6538, 'grad_norm': 0.578125, 'learning_rate': 4.55e-05, 'epoch': 0.0}
{'loss': 6.6955, 'grad_norm': 0.55859375, 'learning_rate': 4.6e-05, 'epoch': 0.0}
{'loss': 6.6533, 'grad_norm': 0.55859375, 'learning_rate': 4.65e-05, 'epoch': 0.0}
{'loss': 6.6208, 'grad_norm': 0.80078125, 'learning_rate': 4.7000000000000004e-05, 'epoch': 0.0}
{'loss': 6.5644, 'grad_norm': 1.09375, 'learning_rate': 4.75e-05, 'epoch': 0.0}
{'loss': 6.4837, 'grad_norm': 1.0859375, 'learning_rate': 4.8e-05, 'epoch': 0.0}
{'loss': 6.5147, 'grad_norm': 1.2890625, 'learning_rate': 4.85e-05, 'epoch': 0.0}
{'loss': 6.4961, 'grad_norm': 1.6640625, 'learning_rate': 4.9000000000000005e-05, 'epoch': 0.0}
{'loss': 6.481, 'grad_norm': 1.6328125, 'learning_rate': 4.9500000000000004e-05, 'epoch': 0.0}
{'loss': 6.4772, 'grad_norm': 1.34375, 'learning_rate': 5e-05, 'epoch': 0.0}
{'loss': 6.4654, 'grad_norm': 0.80859375, 'learning_rate': 5.05e-05, 'epoch': 0.01}
{'loss': 6.363, 'grad_norm': 2.71875, 'learning_rate': 5.1e-05, 'epoch': 0.01}
{'loss': 6.3128, 'grad_norm': 1.6015625, 'learning_rate': 5.15e-05, 'epoch': 0.01}
{'loss': 6.3613, 'grad_norm': 1.4453125, 'learning_rate': 5.2e-05, 'epoch': 0.01}
{'loss': 6.2534, 'grad_norm': 1.46875, 'learning_rate': 5.25e-05, 'epoch': 0.01}
{'loss': 6.2859, 'grad_norm': 1.3828125, 'learning_rate': 5.3e-05, 'epoch': 0.01}
{'loss': 6.2101, 'grad_norm': 1.5, 'learning_rate': 5.35e-05, 'epoch': 0.01}
{'loss': 6.1903, 'grad_norm': 1.0546875, 'learning_rate': 5.4e-05, 'epoch': 0.01}
{'loss': 6.2633, 'grad_norm': 1.2890625, 'learning_rate': 5.45e-05, 'epoch': 0.01}
{'loss': 6.1554, 'grad_norm': 0.98046875, 'learning_rate': 5.5e-05, 'epoch': 0.01}
{'loss': 6.198, 'grad_norm': 0.921875, 'learning_rate': 5.55e-05, 'epoch': 0.01}
{'loss': 6.0711, 'grad_norm': 1.09375, 'learning_rate': 5.6e-05, 'epoch': 0.01}
{'loss': 6.1482, 'grad_norm': 0.80859375, 'learning_rate': 5.6500000000000005e-05, 'epoch': 0.01}
{'loss': 6.1412, 'grad_norm': 0.84375, 'learning_rate': 5.7e-05, 'epoch': 0.01}
{'loss': 6.0854, 'grad_norm': 0.8671875, 'learning_rate': 5.75e-05, 'epoch': 0.01}
{'loss': 6.0057, 'grad_norm': 0.8046875, 'learning_rate': 5.800000000000001e-05, 'epoch': 0.01}
{'loss': 6.0301, 'grad_norm': 0.78515625, 'learning_rate': 5.8500000000000006e-05, 'epoch': 0.01}
{'loss': 5.9169, 'grad_norm': 0.859375, 'learning_rate': 5.9e-05, 'epoch': 0.01}
{'loss': 5.9047, 'grad_norm': 0.68359375, 'learning_rate': 5.9499999999999996e-05, 'epoch': 0.01}
{'loss': 6.007, 'grad_norm': 0.91796875, 'learning_rate': 6e-05, 'epoch': 0.01}
{'loss': 5.9321, 'grad_norm': 0.9921875, 'learning_rate': 6.05e-05, 'epoch': 0.01}
{'loss': 5.9237, 'grad_norm': 0.8671875, 'learning_rate': 6.1e-05, 'epoch': 0.01}
{'loss': 5.9133, 'grad_norm': 1.6640625, 'learning_rate': 6.15e-05, 'epoch': 0.01}
{'loss': 5.8597, 'grad_norm': 0.890625, 'learning_rate': 6.2e-05, 'epoch': 0.01}
{'loss': 5.8655, 'grad_norm': 1.3671875, 'learning_rate': 6.25e-05, 'epoch': 0.01}
{'loss': 5.807, 'grad_norm': 1.1328125, 'learning_rate': 6.3e-05, 'epoch': 0.01}
{'loss': 5.7761, 'grad_norm': 1.109375, 'learning_rate': 6.35e-05, 'epoch': 0.01}
{'loss': 5.7954, 'grad_norm': 0.8671875, 'learning_rate': 6.4e-05, 'epoch': 0.01}
{'loss': 5.7816, 'grad_norm': 1.328125, 'learning_rate': 6.450000000000001e-05, 'epoch': 0.01}
{'loss': 5.7869, 'grad_norm': 0.875, 'learning_rate': 6.500000000000001e-05, 'epoch': 0.01}
{'loss': 5.7788, 'grad_norm': 1.609375, 'learning_rate': 6.55e-05, 'epoch': 0.01}
{'loss': 5.7119, 'grad_norm': 0.98046875, 'learning_rate': 6.6e-05, 'epoch': 0.01}
{'loss': 5.6945, 'grad_norm': 1.3046875, 'learning_rate': 6.65e-05, 'epoch': 0.01}
{'loss': 5.6319, 'grad_norm': 1.2734375, 'learning_rate': 6.7e-05, 'epoch': 0.01}
{'loss': 5.5958, 'grad_norm': 1.1328125, 'learning_rate': 6.75e-05, 'epoch': 0.01}
{'loss': 5.6229, 'grad_norm': 1.2578125, 'learning_rate': 6.800000000000001e-05, 'epoch': 0.01}
{'loss': 5.527, 'grad_norm': 1.3515625, 'learning_rate': 6.850000000000001e-05, 'epoch': 0.01}
{'loss': 5.4921, 'grad_norm': 1.1484375, 'learning_rate': 6.900000000000001e-05, 'epoch': 0.01}
{'loss': 5.502, 'grad_norm': 1.65625, 'learning_rate': 6.950000000000001e-05, 'epoch': 0.01}
{'loss': 5.53, 'grad_norm': 1.0234375, 'learning_rate': 7.000000000000001e-05, 'epoch': 0.01}
{'loss': 5.568, 'grad_norm': 1.1015625, 'learning_rate': 7.049999999999999e-05, 'epoch': 0.01}
{'loss': 5.4711, 'grad_norm': 1.109375, 'learning_rate': 7.099999999999999e-05, 'epoch': 0.01}
{'loss': 5.4205, 'grad_norm': 0.9765625, 'learning_rate': 7.149999999999999e-05, 'epoch': 0.01}
{'loss': 5.4884, 'grad_norm': 1.40625, 'learning_rate': 7.2e-05, 'epoch': 0.01}
{'loss': 5.4714, 'grad_norm': 1.0390625, 'learning_rate': 7.25e-05, 'epoch': 0.01}
{'loss': 5.443, 'grad_norm': 0.89453125, 'learning_rate': 7.3e-05, 'epoch': 0.01}
{'loss': 5.4289, 'grad_norm': 0.984375, 'learning_rate': 7.35e-05, 'epoch': 0.01}
{'loss': 5.3434, 'grad_norm': 1.25, 'learning_rate': 7.4e-05, 'epoch': 0.01}
{'loss': 5.4366, 'grad_norm': 1.0078125, 'learning_rate': 7.45e-05, 'epoch': 0.01}
{'loss': 5.2975, 'grad_norm': 1.171875, 'learning_rate': 7.5e-05, 'epoch': 0.01}
{'loss': 5.4003, 'grad_norm': 1.1953125, 'learning_rate': 7.55e-05, 'epoch': 0.01}
{'loss': 5.4016, 'grad_norm': 0.890625, 'learning_rate': 7.6e-05, 'epoch': 0.01}
{'loss': 5.4467, 'grad_norm': 0.88671875, 'learning_rate': 7.65e-05, 'epoch': 0.01}
{'loss': 5.3613, 'grad_norm': 0.921875, 'learning_rate': 7.7e-05, 'epoch': 0.01}
{'loss': 5.2878, 'grad_norm': 1.7421875, 'learning_rate': 7.75e-05, 'epoch': 0.01}
{'loss': 5.3921, 'grad_norm': 0.90234375, 'learning_rate': 7.8e-05, 'epoch': 0.01}
{'loss': 5.3207, 'grad_norm': 1.3125, 'learning_rate': 7.85e-05, 'epoch': 0.01}
{'loss': 5.2422, 'grad_norm': 1.09375, 'learning_rate': 7.9e-05, 'epoch': 0.01}
{'loss': 5.2543, 'grad_norm': 1.0546875, 'learning_rate': 7.950000000000001e-05, 'epoch': 0.01}
{'loss': 5.2573, 'grad_norm': 1.3125, 'learning_rate': 8e-05, 'epoch': 0.01}
{'loss': 5.2381, 'grad_norm': 0.87890625, 'learning_rate': 8.05e-05, 'epoch': 0.01}
{'loss': 5.2016, 'grad_norm': 1.109375, 'learning_rate': 8.1e-05, 'epoch': 0.01}
{'loss': 5.2028, 'grad_norm': 0.99609375, 'learning_rate': 8.15e-05, 'epoch': 0.01}
{'loss': 5.1992, 'grad_norm': 1.015625, 'learning_rate': 8.2e-05, 'epoch': 0.01}
{'loss': 5.2574, 'grad_norm': 0.90625, 'learning_rate': 8.25e-05, 'epoch': 0.01}
{'loss': 5.1919, 'grad_norm': 0.73046875, 'learning_rate': 8.300000000000001e-05, 'epoch': 0.01}
{'loss': 5.1321, 'grad_norm': 1.0546875, 'learning_rate': 8.350000000000001e-05, 'epoch': 0.01}
{'loss': 5.3154, 'grad_norm': 1.09375, 'learning_rate': 8.400000000000001e-05, 'epoch': 0.01}
{'loss': 5.1276, 'grad_norm': 1.015625, 'learning_rate': 8.450000000000001e-05, 'epoch': 0.01}
{'loss': 5.1661, 'grad_norm': 1.078125, 'learning_rate': 8.5e-05, 'epoch': 0.01}
{'loss': 5.157, 'grad_norm': 1.1640625, 'learning_rate': 8.55e-05, 'epoch': 0.01}
{'loss': 5.0205, 'grad_norm': 0.828125, 'learning_rate': 8.599999999999999e-05, 'epoch': 0.01}
{'loss': 5.1972, 'grad_norm': 1.1640625, 'learning_rate': 8.65e-05, 'epoch': 0.01}
{'loss': 5.0604, 'grad_norm': 1.078125, 'learning_rate': 8.7e-05, 'epoch': 0.01}
{'loss': 5.0761, 'grad_norm': 0.8515625, 'learning_rate': 8.75e-05, 'epoch': 0.01}
{'loss': 5.0555, 'grad_norm': 1.25, 'learning_rate': 8.8e-05, 'epoch': 0.01}
{'loss': 4.9323, 'grad_norm': 1.21875, 'learning_rate': 8.85e-05, 'epoch': 0.01}
{'loss': 5.113, 'grad_norm': 1.171875, 'learning_rate': 8.9e-05, 'epoch': 0.01}
{'loss': 5.0177, 'grad_norm': 0.875, 'learning_rate': 8.95e-05, 'epoch': 0.01}
{'loss': 4.9796, 'grad_norm': 1.3671875, 'learning_rate': 8.999999999999999e-05, 'epoch': 0.01}
{'loss': 5.0087, 'grad_norm': 0.86328125, 'learning_rate': 9.05e-05, 'epoch': 0.01}
{'loss': 5.0701, 'grad_norm': 0.98828125, 'learning_rate': 9.1e-05, 'epoch': 0.01}
{'loss': 5.1361, 'grad_norm': 1.2421875, 'learning_rate': 9.15e-05, 'epoch': 0.01}
{'loss': 5.0264, 'grad_norm': 1.0390625, 'learning_rate': 9.2e-05, 'epoch': 0.01}
{'loss': 4.9857, 'grad_norm': 1.796875, 'learning_rate': 9.25e-05, 'epoch': 0.01}
{'loss': 4.8818, 'grad_norm': 1.109375, 'learning_rate': 9.3e-05, 'epoch': 0.01}
{'loss': 4.9782, 'grad_norm': 1.8046875, 'learning_rate': 9.35e-05, 'epoch': 0.01}
{'loss': 5.0573, 'grad_norm': 1.3984375, 'learning_rate': 9.400000000000001e-05, 'epoch': 0.01}
{'loss': 4.9908, 'grad_norm': 1.3671875, 'learning_rate': 9.45e-05, 'epoch': 0.01}
{'loss': 4.9688, 'grad_norm': 1.296875, 'learning_rate': 9.5e-05, 'epoch': 0.01}
{'loss': 4.8361, 'grad_norm': 1.3984375, 'learning_rate': 9.55e-05, 'epoch': 0.01}
{'loss': 4.9353, 'grad_norm': 1.453125, 'learning_rate': 9.6e-05, 'epoch': 0.01}
{'loss': 4.8824, 'grad_norm': 1.3203125, 'learning_rate': 9.65e-05, 'epoch': 0.01}
{'loss': 4.9245, 'grad_norm': 1.2890625, 'learning_rate': 9.7e-05, 'epoch': 0.01}
{'loss': 4.9228, 'grad_norm': 1.0390625, 'learning_rate': 9.750000000000001e-05, 'epoch': 0.01}
{'loss': 4.9912, 'grad_norm': 1.328125, 'learning_rate': 9.800000000000001e-05, 'epoch': 0.01}
{'loss': 4.8804, 'grad_norm': 0.88671875, 'learning_rate': 9.850000000000001e-05, 'epoch': 0.01}
{'loss': 4.9237, 'grad_norm': 1.484375, 'learning_rate': 9.900000000000001e-05, 'epoch': 0.01}
{'loss': 4.9353, 'grad_norm': 1.015625, 'learning_rate': 9.95e-05, 'epoch': 0.01}
{'loss': 5.0115, 'grad_norm': 1.5078125, 'learning_rate': 0.0001, 'epoch': 0.01}
{'loss': 4.837, 'grad_norm': 1.109375, 'learning_rate': 0.0001005, 'epoch': 0.01}
{'loss': 4.7985, 'grad_norm': 1.1171875, 'learning_rate': 0.000101, 'epoch': 0.01}
{'loss': 4.9009, 'grad_norm': 1.3203125, 'learning_rate': 0.00010150000000000001, 'epoch': 0.01}
{'loss': 4.941, 'grad_norm': 1.046875, 'learning_rate': 0.000102, 'epoch': 0.01}
{'loss': 4.8861, 'grad_norm': 1.03125, 'learning_rate': 0.0001025, 'epoch': 0.01}
{'loss': 4.8123, 'grad_norm': 1.5859375, 'learning_rate': 0.000103, 'epoch': 0.01}
{'loss': 4.8625, 'grad_norm': 1.0546875, 'learning_rate': 0.0001035, 'epoch': 0.01}
{'loss': 4.9569, 'grad_norm': 1.25, 'learning_rate': 0.000104, 'epoch': 0.01}
{'loss': 4.7877, 'grad_norm': 0.921875, 'learning_rate': 0.00010449999999999999, 'epoch': 0.01}
{'loss': 4.8664, 'grad_norm': 1.28125, 'learning_rate': 0.000105, 'epoch': 0.01}
{'loss': 4.742, 'grad_norm': 1.15625, 'learning_rate': 0.0001055, 'epoch': 0.01}
{'loss': 4.8358, 'grad_norm': 1.8671875, 'learning_rate': 0.000106, 'epoch': 0.01}
{'loss': 4.733, 'grad_norm': 0.88671875, 'learning_rate': 0.0001065, 'epoch': 0.01}
{'loss': 4.7763, 'grad_norm': 1.1640625, 'learning_rate': 0.000107, 'epoch': 0.01}
{'loss': 4.7157, 'grad_norm': 1.2890625, 'learning_rate': 0.0001075, 'epoch': 0.01}
{'loss': 4.712, 'grad_norm': 1.03125, 'learning_rate': 0.000108, 'epoch': 0.01}
{'loss': 4.7495, 'grad_norm': 1.546875, 'learning_rate': 0.00010850000000000001, 'epoch': 0.01}
{'loss': 4.7973, 'grad_norm': 0.98046875, 'learning_rate': 0.000109, 'epoch': 0.01}
{'loss': 4.8138, 'grad_norm': 1.890625, 'learning_rate': 0.0001095, 'epoch': 0.01}
{'loss': 4.7584, 'grad_norm': 1.078125, 'learning_rate': 0.00011, 'epoch': 0.01}
{'loss': 4.6499, 'grad_norm': 1.6640625, 'learning_rate': 0.0001105, 'epoch': 0.01}
{'loss': 4.7084, 'grad_norm': 1.15625, 'learning_rate': 0.000111, 'epoch': 0.01}
{'loss': 4.6918, 'grad_norm': 1.484375, 'learning_rate': 0.0001115, 'epoch': 0.01}
{'loss': 4.6013, 'grad_norm': 1.375, 'learning_rate': 0.000112, 'epoch': 0.01}
{'loss': 4.6982, 'grad_norm': 1.1875, 'learning_rate': 0.00011250000000000001, 'epoch': 0.01}
{'loss': 4.7509, 'grad_norm': 1.4140625, 'learning_rate': 0.00011300000000000001, 'epoch': 0.01}
{'loss': 4.6761, 'grad_norm': 1.1796875, 'learning_rate': 0.00011350000000000001, 'epoch': 0.01}
{'loss': 4.7621, 'grad_norm': 1.8203125, 'learning_rate': 0.000114, 'epoch': 0.01}
{'loss': 4.6974, 'grad_norm': 1.3203125, 'learning_rate': 0.0001145, 'epoch': 0.01}
{'loss': 4.6565, 'grad_norm': 1.5234375, 'learning_rate': 0.000115, 'epoch': 0.01}
{'loss': 4.654, 'grad_norm': 1.09375, 'learning_rate': 0.0001155, 'epoch': 0.01}
{'loss': 4.6613, 'grad_norm': 2.046875, 'learning_rate': 0.00011600000000000001, 'epoch': 0.01}
{'loss': 4.6979, 'grad_norm': 1.390625, 'learning_rate': 0.00011650000000000001, 'epoch': 0.01}
{'loss': 4.6717, 'grad_norm': 1.1875, 'learning_rate': 0.00011700000000000001, 'epoch': 0.01}
{'loss': 4.6548, 'grad_norm': 1.4921875, 'learning_rate': 0.0001175, 'epoch': 0.01}
{'loss': 4.6052, 'grad_norm': 1.1640625, 'learning_rate': 0.000118, 'epoch': 0.01}
{'loss': 4.6333, 'grad_norm': 1.71875, 'learning_rate': 0.0001185, 'epoch': 0.01}
{'loss': 4.5809, 'grad_norm': 1.0, 'learning_rate': 0.00011899999999999999, 'epoch': 0.01}
{'loss': 4.7061, 'grad_norm': 1.3828125, 'learning_rate': 0.00011949999999999999, 'epoch': 0.01}
{'loss': 4.6605, 'grad_norm': 1.2578125, 'learning_rate': 0.00012, 'epoch': 0.01}
{'loss': 4.6094, 'grad_norm': 1.40625, 'learning_rate': 0.0001205, 'epoch': 0.01}
{'loss': 4.6929, 'grad_norm': 1.328125, 'learning_rate': 0.000121, 'epoch': 0.01}
{'loss': 4.5905, 'grad_norm': 1.4765625, 'learning_rate': 0.0001215, 'epoch': 0.01}
{'loss': 4.6549, 'grad_norm': 1.28125, 'learning_rate': 0.000122, 'epoch': 0.01}
{'loss': 4.6002, 'grad_norm': 0.97265625, 'learning_rate': 0.0001225, 'epoch': 0.01}
{'loss': 4.5543, 'grad_norm': 1.40625, 'learning_rate': 0.000123, 'epoch': 0.01}
{'loss': 4.5979, 'grad_norm': 1.421875, 'learning_rate': 0.0001235, 'epoch': 0.01}
{'loss': 4.563, 'grad_norm': 1.2578125, 'learning_rate': 0.000124, 'epoch': 0.01}
{'loss': 4.5237, 'grad_norm': 0.8828125, 'learning_rate': 0.0001245, 'epoch': 0.01}
{'loss': 4.558, 'grad_norm': 1.203125, 'learning_rate': 0.000125, 'epoch': 0.01}
{'loss': 4.5019, 'grad_norm': 1.34375, 'learning_rate': 0.00012550000000000001, 'epoch': 0.01}
{'loss': 4.5511, 'grad_norm': 1.4375, 'learning_rate': 0.000126, 'epoch': 0.01}
{'loss': 4.5077, 'grad_norm': 1.8125, 'learning_rate': 0.0001265, 'epoch': 0.01}
{'loss': 4.4533, 'grad_norm': 0.9140625, 'learning_rate': 0.000127, 'epoch': 0.01}
{'loss': 4.5357, 'grad_norm': 1.8359375, 'learning_rate': 0.0001275, 'epoch': 0.01}
{'loss': 4.5929, 'grad_norm': 1.1796875, 'learning_rate': 0.000128, 'epoch': 0.01}
{'loss': 4.4804, 'grad_norm': 1.25, 'learning_rate': 0.0001285, 'epoch': 0.01}
{'loss': 4.5428, 'grad_norm': 1.21875, 'learning_rate': 0.00012900000000000002, 'epoch': 0.01}
